Crenarchaeota	24622
Halobacterota	17795
Thermoplasmatota	9890
Euryarchaeota	8441
Asgardarchaeota	4498
Hadarchaeota	1403
Nanoarchaeota	948
Hydrothermarchaeota	560
Aenigmarchaeota	434
Korarchaeota	232
Micrarchaeota	164
Nanohaloarchaeota	86
Iainarchaeota	61
Altiarchaeota	54
uncultured	10
