Amorphea	93055
SAR	46738
Archaeplastida	26566
Discoba	2472
Cryptophyceae	1234
Excavata	932
Haptophyta	899
Incertae	240
Picozoa	65
uncultured	23
SA1-3C06	9
NAMAKO-1	3
Eukaryota	1
Ciliophrys	1
